#  idx     temp           <En>           fluEn          <rho>          flurho          <En2>         fluEn2          <EnN>          fluEnN         <phi>          fluphi         <phi2>        fluphi2         <phi4>        fluphi4        <theta>        flutheta       <theta2>       flutheta2      <theta4>      flutheta4        <Q>            fluQ           <Q2>           fluQ2          <Q4>          fluQ4           <N2>           fluN2 
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  32   8.590000e-01   -1.102117e+03   5.601694e+00   9.631130e-01   5.238982e-05   1.233472e+06   1.241024e+04   -2.447890e+06   1.245690e+04   1.124825e-02   1.207237e-05   1.644718e-04   3.628204e-07   6.380000e-08   6.934092e-10   5.315437e-01   1.545362e-03   3.250497e-01   1.342384e-03   1.419188e-01   7.585752e-04   5.749140e-01   1.492893e-03   3.698964e-01   1.433437e-03   1.771749e-01   9.139770e-04   4.924434e+06   5.343119e+01 
  33   8.597500e-01   -1.081614e+03   6.573178e+00   9.617683e-01   6.126163e-05   1.189575e+06   1.418788e+04   -2.399090e+06   1.457322e+04   1.154039e-02   1.349841e-05   1.729716e-04   4.084625e-07   7.020000e-08   3.487587e-10   5.010530e-01   1.832526e-03   2.964661e-01   1.543295e-03   1.242155e-01   8.406632e-04   5.454738e-01   1.758926e-03   3.397430e-01   1.648722e-03   1.562433e-01   1.017657e-03   4.910708e+06   6.244144e+01 
  34   8.605000e-01   -1.055220e+03   5.680531e+00   9.601672e-01   5.803062e-05   1.132621e+06   1.202800e+04   -2.336721e+06   1.259058e+04   1.189232e-02   1.313433e-05   1.834170e-04   3.986433e-07   7.960000e-08   2.799417e-10   4.620150e-01   1.807785e-03   2.615805e-01   1.487553e-03   1.040533e-01   7.634177e-04   5.079018e-01   1.737810e-03   3.027395e-01   1.596027e-03   1.321110e-01   9.336624e-04   4.894382e+06   5.911498e+01 
  35   8.612500e-01   -1.032229e+03   6.102503e+00   9.587926e-01   5.585333e-05   1.084335e+06   1.268983e+04   -2.282517e+06   1.349188e+04   1.218536e-02   1.263140e-05   1.921560e-04   3.927947e-07   8.640000e-08   6.857143e-10   4.301047e-01   1.696321e-03   2.332050e-01   1.373545e-03   8.793125e-02   6.986459e-04   4.769997e-01   1.626447e-03   2.725096e-01   1.473955e-03   1.127129e-01   8.555976e-04   4.880375e+06   5.686504e+01 
  36   8.620000e-01   -1.000638e+03   6.736603e+00   9.573553e-01   5.977711e-05   1.019863e+06   1.332449e+04   -2.209344e+06   1.490624e+04   1.249034e-02   1.293879e-05   2.014748e-04   4.018418e-07   9.320000e-08   6.663945e-10   3.941109e-01   1.865207e-03   2.035958e-01   1.428525e-03   7.267593e-02   6.756424e-04   4.422616e-01   1.797606e-03   2.406870e-01   1.549588e-03   9.407876e-02   8.384379e-04   4.865750e+06   6.078242e+01 
  37   8.627500e-01   -9.805059e+02   5.278544e+00   9.560566e-01   5.988327e-05   9.782266e+05   1.039022e+04   -2.161853e+06   1.158734e+04   1.275951e-02   1.308121e-05   2.097988e-04   4.023619e-07   1.004000e-07   2.799417e-10   3.628204e-01   1.869295e-03   1.783867e-01   1.427065e-03   6.013459e-02   6.616115e-04   4.118964e-01   1.803984e-03   2.134435e-01   1.549439e-03   7.865068e-02   8.244102e-04   4.852547e+06   6.087892e+01 
  38   8.635000e-01   -9.593986e+02   5.206627e+00   9.546147e-01   5.229657e-05   9.357445e+05   1.003146e+04   -2.111972e+06   1.146790e+04   1.306889e-02   1.148085e-05   2.195332e-04   3.648199e-07   1.098000e-07   2.000000e-10   3.275681e-01   1.609247e-03   1.506387e-01   1.176804e-03   4.679018e-02   5.045736e-04   3.777256e-01   1.541564e-03   1.833592e-01   1.281575e-03   6.212470e-02   6.373093e-04   4.837897e+06   5.308659e+01 
  39   8.642500e-01   -9.436435e+02   6.784866e+00   9.535815e-01   5.662975e-05   9.056540e+05   1.283221e+04   -2.074923e+06   1.491032e+04   1.327884e-02   1.176467e-05   2.262828e-04   3.827731e-07   1.168000e-07   6.663945e-10   3.042366e-01   1.864590e-03   1.332571e-01   1.315713e-03   3.889286e-02   5.365523e-04   3.550058e-01   1.788279e-03   1.643453e-01   1.440757e-03   5.226547e-02   6.837108e-04   4.827415e+06   5.746299e+01 
  40   8.650000e-01   -9.422372e+02   5.642065e+00   9.525301e-01   4.879220e-05   9.010091e+05   1.052284e+04   -2.069363e+06   1.239989e+04   1.349711e-02   1.126037e-05   2.333036e-04   3.688821e-07   1.208000e-07   3.875617e-10   2.793870e-01   1.515309e-03   1.150373e-01   1.069678e-03   3.097461e-02   4.473583e-04   3.307697e-01   1.470024e-03   1.443288e-01   1.178267e-03   4.227637e-02   5.691236e-04   4.816752e+06   4.948855e+01
  41   8.657500e-01   -9.201767e+02   5.041050e+00   9.515586e-01   3.583699e-05   8.585384e+05   9.238413e+03   -2.018732e+06   1.107005e+04   1.369563e-02   8.226088e-06   2.398446e-04   2.783786e-07   1.296000e-07   2.799417e-10   2.568036e-01   1.056969e-03   9.953267e-02   7.339349e-04   2.479954e-02   3.000574e-04   3.087666e-01   1.019523e-03   1.271500e-01   8.063921e-04   3.438012e-02   3.821882e-04   4.806913e+06   3.631988e+01 
  42   8.665000e-01   -9.017036e+02   5.589317e+00   9.506714e-01   2.761057e-05   8.241926e+05   1.008491e+04   -1.976243e+06   1.225754e+04   1.386726e-02   6.640002e-06   2.455502e-04   2.279919e-07   1.320000e-07   5.714286e-10   2.369345e-01   9.436354e-04   8.646404e-02   6.129149e-04   1.986310e-02   2.292866e-04   2.892719e-01   9.111920e-04   1.125234e-01   6.794250e-04   2.800245e-02   2.961632e-04   4.797936e+06   2.796800e+01 
  43   8.672500e-01   -9.002389e+02   5.637224e+00   9.498983e-01   2.832584e-05   8.206622e+05   1.009284e+04   -1.971290e+06   1.233977e+04   1.401522e-02   6.257192e-06   2.504944e-04   2.168412e-07   1.400000e-07   1.890699e-23   2.202493e-01   8.393702e-04   7.567242e-02   5.673395e-04   1.597093e-02   2.129884e-04   2.730677e-01   8.098221e-04   1.004580e-01   6.284446e-04   2.293212e-02   2.769969e-04   4.790118e+06   2.866536e+01 
  44   8.680000e-01   -8.929196e+02   6.191374e+00   9.491997e-01   2.980935e-05   8.071832e+05   1.093667e+04   -1.953735e+06   1.354536e+04   1.414863e-02   7.152079e-06   2.550944e-04   2.514765e-07   1.424000e-07   6.101188e-10   2.059543e-01   9.364196e-04   6.706402e-02   5.701020e-04   1.309805e-02   1.891341e-04   2.588652e-01   9.051913e-04   9.061995e-02   6.397642e-04   1.912991e-02   2.502062e-04   4.783064e+06   3.013503e+01 
  45   8.687500e-01   -8.805681e+02   4.739328e+00   9.484689e-01   2.716514e-05   7.836977e+05   8.372238e+03   -1.925122e+06   1.038201e+04   1.429570e-02   6.339570e-06   2.601562e-04   2.324912e-07   1.490000e-07   4.285714e-10   1.908408e-01   9.027313e-04   5.813111e-02   5.166367e-04   1.021349e-02   1.614010e-04   2.439695e-01   8.727302e-04   8.043250e-02   5.856458e-04   1.529413e-02   2.157470e-04   4.775686e+06   2.743948e+01 
  46   8.695000e-01   -8.610781e+02   5.724799e+00   9.479319e-01   2.490498e-05   7.498095e+05   9.774921e+03   -1.881391e+06   1.250558e+04   1.439992e-02   6.193477e-06   2.637510e-04   2.307000e-07   1.508000e-07   3.875617e-10   1.811066e-01   8.096373e-04   5.275322e-02   4.317757e-04   8.671572e-03   1.221523e-04   2.344922e-01   7.866101e-04   7.425664e-02   4.952087e-04   1.320071e-02   1.657730e-04   4.770272e+06   2.512655e+01 
  47   8.702500e-01   -8.576815e+02   5.908703e+00   9.473115e-01   2.296419e-05   7.435424e+05   1.016335e+04   -1.872668e+06   1.290985e+04   1.451049e-02   6.319222e-06   2.676554e-04   2.349116e-07   1.580000e-07   5.714286e-10   1.694235e-01   7.972930e-04   4.647368e-02   4.137005e-04   6.919344e-03   1.151320e-04   2.228126e-01   7.820528e-04   6.690625e-02   4.793166e-04   1.079635e-02   1.567772e-04   4.764020e+06   2.315764e+01 
  48   8.710000e-01   -8.545226e+02   5.501512e+00   9.468121e-01   1.927226e-05   7.375268e+05   9.387346e+03   -1.864728e+06   1.200301e+04   1.460552e-02   4.827991e-06   2.710428e-04   1.816817e-07   1.600000e-07   1.134419e-23   1.609019e-01   6.486604e-04   4.209651e-02   3.334700e-04   5.761559e-03   9.235736e-05   2.143631e-01   6.295953e-04   6.176934e-02   3.831312e-04   9.197506e-03   1.256713e-04   4.758991e+06   1.942530e+01 
  49   8.717500e-01   -8.406651e+02   5.271041e+00   9.463218e-01   1.840425e-05   7.136284e+05   8.870570e+03   -1.833507e+06   1.150619e+04   1.470145e-02   5.081867e-06   2.745024e-04   1.868147e-07   1.636000e-07   6.857143e-10   1.526227e-01   6.483403e-04   3.820022e-02   3.326555e-04   4.891366e-03   8.678012e-05   2.060770e-01   6.331313e-04   5.709045e-02   3.852906e-04   7.946900e-03   1.198123e-04   4.754059e+06   1.854855e+01 
  50   8.725000e-01   -8.485378e+02   5.807587e+00   9.458630e-01   1.624981e-05   7.269082e+05   9.895161e+03   -1.849721e+06   1.265672e+04   1.477475e-02   4.799424e-06   2.770994e-04   1.817963e-07   1.686000e-07   4.956958e-10   1.455311e-01   5.173020e-04   3.483297e-02   2.404833e-04   4.099044e-03   5.682229e-05   1.989710e-01   5.157429e-04   5.304784e-02   2.856684e-04   6.823591e-03   7.999858e-05   4.749444e+06   1.635207e+01 
  51   8.732500e-01   -8.308190e+02   5.248381e+00   9.453977e-01   1.353865e-05   6.965871e+05   8.752353e+03   -1.810174e+06   1.143084e+04   1.485971e-02   4.370323e-06   2.801622e-04   1.628587e-07   1.700000e-07   7.562794e-24   1.385210e-01   4.319024e-04   3.168918e-02   2.121755e-04   3.444542e-03   5.337243e-05   1.919564e-01   4.156062e-04   4.923661e-02   2.447308e-04   5.870617e-03   7.396707e-05   4.744768e+06   1.362321e+01 
  52   8.740000e-01   -8.276043e+02   5.557858e+00   9.449771e-01   1.296548e-05   6.911876e+05   9.156027e+03   -1.802334e+06   1.210346e+04   1.493751e-02   4.480846e-06   2.830796e-04   1.844150e-07   1.732000e-07   6.663945e-10   1.322368e-01   3.973870e-04   2.895729e-02   1.743242e-04   2.890095e-03   3.676403e-05   1.855797e-01   3.848109e-04   4.587073e-02   2.051278e-04   5.054942e-03   5.251144e-05   4.740543e+06   1.302954e+01 
  53   8.747500e-01   -8.159935e+02   5.959241e+00   9.445923e-01   1.367611e-05   6.721875e+05   9.790669e+03   -1.776307e+06   1.297383e+04   1.500845e-02   4.240198e-06   2.856620e-04   1.680610e-07   1.786000e-07   4.956958e-10   1.267733e-01   4.669594e-04   2.680733e-02   1.982914e-04   2.525468e-03   4.168343e-05   1.800698e-01   4.712112e-04   4.317623e-02   2.410863e-04   4.498254e-03   6.014017e-05   4.736680e+06   1.374231e+01 
